DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__7305C0EAF30EBAE6EBBBE09D23B9982D28009564, StartTime=2016.02.08-18.55.23, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=1.196399ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_11, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__E6DF9CE0EE9717D8B71B071B783390509E9F2721, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=46674 bytes, Retrieved=true, Duration=0.040960ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_12, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__D4515787DF5450CB1E68235EBDDEF7547C3CDA40, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=39664 bytes, Retrieved=true, Duration=0.215366ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_13, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__6CDBC5D52F47BF08934D4F01FCC716E20F6A094B, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=27401 bytes, Retrieved=true, Duration=0.043269ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_14, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__B47EE8B2D597F86D3C53961C6B7DA58E4033BABF, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=20272 bytes, Retrieved=true, Duration=0.128821ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_15, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__F9C741C33AE83ACDCE92A59BCAEB4C89BB03F1E0, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=18645 bytes, Retrieved=true, Duration=0.036992ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_16, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__33390D3EE9D7EAE85E005AA887A98A1CFB42A306, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=11827 bytes, Retrieved=true, Duration=2.063479ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_17, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__12646B186A5F8067991F14F06B743B5A3FE20E69, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=38327 bytes, Retrieved=true, Duration=0.051860ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_18, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__F3E4FF6050A5B18A1763C9645723AE6228DED35E, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=31142 bytes, Retrieved=true, Duration=0.197198ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_19, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__6DFD6A9743F9754A1517BAA869C5D847C1C98B25, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=37776 bytes, Retrieved=true, Duration=0.040628ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_20, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__0114BEE7C227E9C8B23DC2CBDDB49DE1A01656FB, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=30886 bytes, Retrieved=true, Duration=0.500429ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_21, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_21__27332BED7EEB4BCFC645A8495DBDD296BC92845C, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=36762 bytes, Retrieved=true, Duration=0.038978ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_22, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_572BACBB4C0F7A7E5__3E548DD4356165E327B3FDBD52328D445BA9E3FF, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=5894 bytes, Retrieved=true, Duration=0.031382ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_23, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_572BACBB4C0F7A7E5E958FB3CA3C35D__C2850DB5A2961110725E32467314D7B18AB25CB6, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=15253 bytes, Retrieved=true, Duration=0.038318ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_24, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufAC9EF829__0CC90BCC7CB3BEC77CF32C4DD5F1EE3BC2A21964, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=157804 bytes, Retrieved=true, Duration=0.084229ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_25, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufAC9EF829__078DC3A2CA456C68285493BF0B4FE5E514CD60D0, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=116636 bytes, Retrieved=true, Duration=4.650835ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_26, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufA65D8BFD__CF4177CAB09C8B8AA41DB921825871BDA6D04EE5, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=675243 bytes, Retrieved=true, Duration=0.389770ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_27, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufA65D8BFD__2743960A903FCC6C318FC02A3A8EC2FC1F9C6A61, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=496359 bytes, Retrieved=true, Duration=2.069093ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_28, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_D8__AB7440EC4758A80E781CBED1E2F4D9CABBC9ECB2, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=15569 bytes, Retrieved=true, Duration=0.034686ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_29, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0B92E78C4DB1EF7D0C58D2A05F1E4C3__0A0B313B1A847E9E2D62BADAF19988370A263D03, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=5412 bytes, Retrieved=true, Duration=0.032373ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_30, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_0B92E78C4DB1EF7D0__37187FC2FA1D1A6D05AD3EE83DD7C240C6A96004, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=393 bytes, Retrieved=true, Duration=0.029728ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_31, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufE8B62895__7CE540618F16C1742A6B372D7D410596BEC4298C, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=36505 bytes, Retrieved=true, Duration=0.040296ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_32, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufE8B62895__50059E49289336632224F79233E6B0D0B6B652F9, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=29773 bytes, Retrieved=true, Duration=1.035206ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_33, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufE8B62895__D4D027FDE1F15C75688FFDC75902FC0FA6A5EB48, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=26619 bytes, Retrieved=true, Duration=0.043601ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_34, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufE8B62895__7E3051FB98BDA4FA599EF0C13194730278E987F8, StartTime=2016.02.08-18.55.24, HierarchicalDDC, DataSize=19943 bytes, Retrieved=true, Duration=0.142366ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_35, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_35__A0CF8B27B96CACB125EAA51F5821FE99A23D9C00, StartTime=2016.02.08-18.55.25, HierarchicalDDC, DataSize=99765 bytes, Retrieved=true, Duration=0.098106ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdA5E3DEC143CD488F6F108BBD5A532E64_0, CachedDataProbablyExists, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_35__A0CF8B27B96CACB125EAA51F5821FE99A23D9C00, StartTime=2016.02.08-18.55.25, FileDDCPath=C:/Users/gcote/AppData/Local/UnrealEngine/Common/DerivedDataCache, Duration=0.231881ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_36, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_3EB8020CB845EC1CB__5749715A1F8C57EB94A7C19D57F5F75CF4324F34, StartTime=2016.02.08-18.55.25, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.036336ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_37, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3EB8020CB845EC1CB89E07AEA47E714__AFCC47D4DC55A6937856CC3A0F63CC92D5B1952B, StartTime=2016.02.08-18.55.25, HierarchicalDDC, DataSize=32254 bytes, Retrieved=true, Duration=0.048228ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdFF7399504C442A122AEA6EAFDCB460C4_0, CachedDataProbablyExists, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3EB8020CB845EC1CB89E07AEA47E714__AFCC47D4DC55A6937856CC3A0F63CC92D5B1952B, StartTime=2016.02.08-18.55.25, FileDDCPath=C:/Users/gcote/AppData/Local/UnrealEngine/Common/DerivedDataCache, Duration=0.188611ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionId2013B68E4522F40886A28CA01AFEE968_0, CachedDataProbablyExists, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_3EB8020CB845EC1CB__5749715A1F8C57EB94A7C19D57F5F75CF4324F34, StartTime=2016.02.08-18.55.25, FileDDCPath=C:/Users/gcote/AppData/Local/UnrealEngine/Common/DerivedDataCache, Duration=0.208430ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_38, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf2CC2285B__94B9C5F71C93017BBB54BE73B06A21EC0EED8E4B, StartTime=2016.02.08-18.55.25, HierarchicalDDC, DataSize=204131 bytes, Retrieved=true, Duration=0.803325ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdA5E3DEC143CD488F6F108BBD5A532E64_1, CachedDataProbablyExists, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf2CC2285B__94B9C5F71C93017BBB54BE73B06A21EC0EED8E4B, StartTime=2016.02.08-18.55.25, FileDDCPath=C:/Users/gcote/AppData/Local/UnrealEngine/Common/DerivedDataCache, Duration=0.222631ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_39, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf2CC2285B__274485F06E3DCC667986CC1BA200453A1911AD23, StartTime=2016.02.08-18.55.25, HierarchicalDDC, Retrieved=false, Duration=0.122216ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_40, CachedDataProbablyExists, Parent=DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_39, StartTime=2016.02.08-18.55.25, FileDDCPath=C:/Users/gcote/AppData/Local/UnrealEngine/Common/DerivedDataCache, Duration=0.096783ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_41, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_3A__4F5CE07281C38A268DE45F7FA423F88D7B0AE129, StartTime=2016.02.08-18.55.25, HierarchicalDDC, DataSize=65201 bytes, Retrieved=true, Duration=0.048224ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_42, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_61C171EA46E0571C62DF3480217B91D__F4C26B03894151ACF24F74C71F892F72BBAAD999, StartTime=2016.02.08-18.55.25, HierarchicalDDC, DataSize=12598 bytes, Retrieved=true, Duration=0.037655ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_43, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_61C171EA46E0571C6__EF9CDC3B6887C3D0D2556BBCF93DC456088AB47A, StartTime=2016.02.08-18.55.25, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.030059ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_44, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_D9__9DF8CCE0ED0B79F38E697746DF45AE6BF69F68C8, StartTime=2016.02.08-18.55.25, HierarchicalDDC, DataSize=253937 bytes, Retrieved=true, Duration=0.201490ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_45, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_018CC2044C5CC807DA3B60B8907DBC4__AAD08D1B3C1D13C8BC491943C640F4DAAFF0B040, StartTime=2016.02.08-18.55.25, HierarchicalDDC, DataSize=6406 bytes, Retrieved=true, Duration=0.037655ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_46, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_018CC2044C5CC807D__7A3DC7B4FEFB46D3D4261913D0871F84ED6210BF, StartTime=2016.02.08-18.55.25, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.030059ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_47, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf13D2B0DF__8241B743BD7302879AF896EADF9D64D70AAB63D0, StartTime=2016.02.08-18.55.25, HierarchicalDDC, DataSize=92504 bytes, Retrieved=true, Duration=0.062097ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_48, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf13D2B0DF__56CA7C62E20C758D69F0DD0A4FBA588E9B8501DA, StartTime=2016.02.08-18.55.25, HierarchicalDDC, DataSize=60866 bytes, Retrieved=true, Duration=7.734328ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_49, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf8AE21826__D926AEA668CEC3AFF391A9B606B6207F28E14495, StartTime=2016.02.08-18.55.26, HierarchicalDDC, DataSize=20394 bytes, Retrieved=true, Duration=0.045251ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_50, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf8AE21826__7194F2C0E11F2239693964320A59D39936B89605, StartTime=2016.02.08-18.55.26, HierarchicalDDC, DataSize=13076 bytes, Retrieved=true, Duration=2.470098ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_51, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_6D__464B476120AE22BDD787DC13E746A5F534FB971A, StartTime=2016.02.08-18.55.26, HierarchicalDDC, DataSize=4601 bytes, Retrieved=true, Duration=0.034351ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_52, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C33D81C24393A1288FAD6F85644FF32__08679E0F0EDF248D8827E1C740FF1E3AC5C9685A, StartTime=2016.02.08-18.55.26, HierarchicalDDC, DataSize=2638 bytes, Retrieved=true, Duration=0.032037ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_53, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C33D81C24393A1288__0949F2DB7DD2A51B20D1C7A644D27F8090FD7508, StartTime=2016.02.08-18.55.26, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.032369ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_54, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf73E35E74__4DB4B8F97C8023E3ECA4C535126CB5CB6238CAE7, StartTime=2016.02.08-18.55.26, HierarchicalDDC, DataSize=17019 bytes, Retrieved=true, Duration=0.035342ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_55, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf73E35E74__6A7247B0617031C12C5991448722ACEE1F6F0537, StartTime=2016.02.08-18.55.26, HierarchicalDDC, DataSize=10935 bytes, Retrieved=true, Duration=6.810770ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
DDCTransactionIdF34D64C945B3FFC3759CFCBF280BEC3D_56, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufDC721E05__D3FCFD0D7E6153A7A931C94FA9436898AA6649DE, StartTime=2016.02.08-18.55.26, HierarchicalDDC, DataSize=47501 bytes, Retrieved=true, Duration=0.046246ms, RunGuid=RunID48B2541E49C11518C6E208B5A1CA159A
